src,dst,weight
53.0,236.0,2.4918831513787154e-06
53.0,652.0,1.6858665503605152e-06
53.0,669.0,2.05232231564878e-06
53.0,992.0,2.9056270705041243e-06
53.0,1167.0,2.877020506275585e-06
53.0,1312.0,3.262214022470289e-06
54.0,10.0,2.413876063656062e-05
54.0,54.0,0.9998853206634521
54.0,449.0,2.640338607307058e-06
54.0,1113.0,3.696992791901721e-07
54.0,1185.0,3.526819796206837e-07
54.0,1269.0,3.6673040995083284e-06
54.0,1460.0,5.053211680206005e-07
55.0,55.0,0.9997957944869995
55.0,121.0,1.8861300077332999e-06
55.0,209.0,2.1905395897192648e-06
55.0,472.0,4.275970240996685e-06
55.0,1129.0,2.4802727693895577e-06
55.0,1354.0,2.917096935561858e-06
55.0,1395.0,1.1787031326093711e-05
56.0,18.0,4.3586365450209996e-07
56.0,56.0,0.9999480247497559
56.0,113.0,3.448791972004983e-07
56.0,165.0,4.060680112161208e-06
56.0,166.0,2.4366172510781325e-06
56.0,535.0,4.940576445733313e-07
56.0,1014.0,3.1972689384929254e-07
57.0,57.0,0.9999459385871887
57.0,407.0,4.835160325455945e-07
57.0,408.0,5.785293524240842e-07
57.0,626.0,2.508716079319129e-07
57.0,943.0,3.033464395230112e-07
57.0,1327.0,3.123597025478375e-07
57.0,1431.0,3.1471273587158066e-07
58.0,58.0,0.9996320009231567
58.0,459.0,2.95818585982488e-06
58.0,465.0,3.0868598059896613e-06
58.0,731.0,5.0492667469370645e-06
58.0,984.0,3.840274530375609e-06
58.0,1079.0,1.027445341605926e-05
58.0,1407.0,7.012953574303538e-06
59.0,59.0,0.9997010827064514
59.0,414.0,2.303663222846808e-06
59.0,425.0,1.6566143585805548e-06
59.0,438.0,2.4900609787437133e-06
59.0,712.0,2.2653948690276593e-06
59.0,748.0,2.284154334120103e-06
59.0,954.0,1.725402853480773e-06
60.0,60.0,0.9996588826179504
60.0,156.0,5.657923793478403e-06
60.0,257.0,3.284933882241603e-06
60.0,477.0,3.2576872399658896e-06
60.0,481.0,3.8723037505405955e-06
60.0,556.0,3.138242391287349e-06
60.0,756.0,2.30030418606475e-05
61.0,61.0,0.999914824962616
61.0,62.0,6.965659054003481e-07
61.0,144.0,4.0210807128460146e-07
61.0,577.0,3.518225355492177e-07
61.0,932.0,6.158430778668844e-07
61.0,994.0,7.69977816617029e-07
61.0,1487.0,3.3697145340738643e-07
62.0,61.0,6.965663033042802e-07
62.0,62.0,0.9999154210090637
62.0,144.0,9.413271300218184e-07
62.0,363.0,6.296161814134393e-07
62.0,860.0,5.699257030755689e-07
62.0,994.0,1.82456233233097e-06
62.0,1487.0,6.296161814134393e-07
63.0,63.0,0.9998881816864014
63.0,279.0,6.290453029578202e-07
63.0,541.0,6.596153525606496e-07
63.0,542.0,8.027068929550296e-07
63.0,1184.0,5.851435389558901e-07
63.0,1232.0,1.4128486327535938e-06
63.0,1328.0,6.134765726528713e-07
64.0,64.0,0.9999321699142456
64.0,65.0,3.5729965475184144e-07
64.0,70.0,9.902190640787012e-07
64.0,812.0,3.522254417021031e-07
64.0,1008.0,4.1951182083721505e-07
64.0,1230.0,3.697763872878568e-07
64.0,1318.0,4.87260706449888e-07
65.0,65.0,0.9999240636825562
65.0,473.0,8.95486493845965e-07
65.0,812.0,5.959810778222163e-07
65.0,1123.0,7.68322252042708e-07
65.0,1230.0,1.0168546396016609e-05
65.0,1302.0,3.784668081152631e-07
65.0,1318.0,5.069263693258108e-07
66.0,39.0,4.966100277670193e-07
66.0,66.0,0.999963104724884
66.0,429.0,1.7866146606593247e-07
66.0,678.0,2.674146060144267e-07
66.0,681.0,1.7937105667442665e-07
66.0,1370.0,2.921705117842066e-07
66.0,1439.0,2.0811276613130758e-07
67.0,67.0,0.33332642912864685
67.0,323.0,0.33332642912864685
67.0,364.0,0.33332642912864685
67.0,446.0,3.522723659443727e-07
67.0,448.0,3.319731547435367e-07
67.0,569.0,2.49056711254525e-07
67.0,721.0,3.196971363195189e-07
68.0,68.0,0.9997552037239075
68.0,277.0,3.163001338180038e-06
68.0,417.0,3.6110122891841456e-06
68.0,515.0,2.2351189272740157e-06
68.0,543.0,2.4482478693244047e-06
68.0,1075.0,2.5812450985540636e-06
68.0,1212.0,2.416928509774152e-06
69.0,69.0,0.9998782277107239
69.0,160.0,5.358685939427232e-07
69.0,396.0,7.92587854903104e-07
69.0,784.0,5.583119673246983e-07
69.0,917.0,6.817818984927726e-07
69.0,1030.0,6.750766488039517e-07
69.0,1415.0,6.802683287787659e-07
70.0,64.0,9.902173587761354e-07
70.0,65.0,2.883768672745646e-07
70.0,70.0,0.9999305009841919
70.0,298.0,2.8777594707207754e-07
70.0,1008.0,3.1444284331882955e-07
70.0,1230.0,2.9561641667896765e-07
70.0,1318.0,4.7321847773673653e-07
71.0,71.0,0.9996781349182129
71.0,180.0,3.117647338513052e-06
71.0,700.0,5.354988843464525e-06
71.0,896.0,4.61077570435009e-06
71.0,899.0,7.001640824455535e-06
71.0,1048.0,3.027135790034663e-06
71.0,1071.0,3.358784397278214e-06
72.0,72.0,0.9995684623718262
72.0,506.0,7.1743843363947235e-06
72.0,529.0,5.470725227496587e-06
72.0,534.0,5.21848460266483e-06
72.0,646.0,5.095649612485431e-05
72.0,999.0,1.969841650861781e-05
72.0,1044.0,1.3420896721072495e-05
73.0,22.0,6.390290536728571e-07
73.0,73.0,0.9998891949653625
73.0,317.0,3.736520852726244e-07
73.0,404.0,2.944464654319745e-07
73.0,550.0,3.9828452713663864e-07
73.0,746.0,3.191134396729467e-07
73.0,1042.0,5.18104911861883e-07
74.0,74.0,0.999762237071991
74.0,75.0,2.1606541849905625e-05
74.0,140.0,7.112903858796926e-06
74.0,582.0,2.5594921680749394e-05
74.0,674.0,3.151580131088849e-06
74.0,709.0,7.240874310809886e-06
74.0,1326.0,2.570190417827689e-06
75.0,74.0,2.1606727386824787e-05
75.0,75.0,0.9997708201408386
75.0,140.0,8.50240667205071e-06
75.0,582.0,1.6487296306877397e-05
75.0,674.0,3.3385158531018533e-06
75.0,709.0,7.284105322469259e-06
75.0,1326.0,2.466209934937069e-06
76.0,76.0,0.9999457001686096
76.0,275.0,4.4125070530753874e-07
76.0,1138.0,3.6112797374698857e-07
76.0,1265.0,3.801721675245062e-07
76.0,1266.0,1.0292769729858264e-06
76.0,1267.0,2.7635082915367093e-06
76.0,1377.0,4.4125070530753874e-07
77.0,77.0,0.9998598694801331
77.0,293.0,8.806459845800418e-07
77.0,416.0,1.3550219364333316e-06
77.0,516.0,7.34924560674699e-06
77.0,998.0,1.0675855719455285e-06
77.0,1004.0,1.4425947938434547e-06
77.0,1088.0,1.7772692899598042e-06
78.0,78.0,0.9996671080589294
78.0,105.0,3.0071073524595704e-06
78.0,182.0,1.0771994311653543e-05
78.0,794.0,2.8252595711819595e-06
78.0,837.0,2.9954630917927716e-06
78.0,844.0,1.0115502846019808e-05
78.0,1358.0,6.827420293120667e-06
79.0,79.0,0.9998612999916077
79.0,672.0,9.316255500380066e-07
79.0,674.0,8.14360703316197e-07
79.0,825.0,1.3345386378205149e-06
79.0,1326.0,8.758619287618785e-07
79.0,1390.0,8.980432539829053e-07
79.0,1412.0,8.964776725406409e-07
80.0,80.0,0.9997655153274536
80.0,661.0,1.4265589243223076e-06
80.0,733.0,2.342492052775924e-06
80.0,904.0,1.475421186114545e-06
80.0,925.0,1.3486250054484117e-06
80.0,1139.0,1.3363178368308581e-06
80.0,1204.0,7.5065895543957595e-06
81.0,81.0,0.9999328851699829
81.0,204.0,1.22093956633762e-06
81.0,324.0,5.617422971226915e-07
81.0,361.0,1.22093956633762e-06
81.0,362.0,2.011524657064001e-06
81.0,725.0,5.826118467666674e-07
81.0,762.0,1.22093956633762e-06
82.0,82.0,0.24999316036701202
82.0,371.0,8.808314078123658e-07
82.0,565.0,0.24999316036701202
82.0,574.0,0.24999316036701202
82.0,727.0,0.24999316036701202
82.0,1424.0,4.243327396125096e-07
82.0,1461.0,3.5159820299668354e-07
83.0,83.0,0.9997094869613647
83.0,102.0,1.7953974747797474e-05
83.0,162.0,2.6988741410605144e-06
83.0,189.0,3.2675350212230114e-06
83.0,470.0,1.8197557437815703e-05
83.0,916.0,2.8692406885966193e-06
83.0,1201.0,2.1291862140060402e-06
84.0,84.0,0.9999419450759888
84.0,153.0,2.988214191645966e-07
84.0,618.0,2.0288287316816422e-07
84.0,772.0,3.3740661820047535e-07
84.0,800.0,1.840569865407815e-07
84.0,1164.0,1.683837211885475e-07
84.0,1466.0,9.065361723514798e-07
85.0,44.0,2.643285370140802e-05
85.0,85.0,0.9998111128807068
85.0,291.0,1.5875109511398477e-06
85.0,758.0,1.86845761618315e-06
85.0,773.0,1.7057159311661962e-06
85.0,821.0,2.9139041544112843e-06
85.0,1104.0,2.960630808956921e-06
86.0,86.0,0.9997731447219849
86.0,212.0,4.093161805940326e-06
86.0,405.0,3.865839516947744e-06
86.0,622.0,2.543092705309391e-06
86.0,858.0,1.013369455904467e-05
86.0,1314.0,2.3008026346360566e-06
86.0,1355.0,4.815569354832405e-06
87.0,17.0,1.585558777605911e-07
87.0,87.0,0.9999599456787109
87.0,165.0,1.2379439340293175e-07
87.0,166.0,1.2090453083146713e-07
87.0,456.0,1.311146746729719e-07
87.0,548.0,2.1909774261530401e-07
87.0,667.0,3.8967920090726693e-07
88.0,88.0,0.9996389746665955
88.0,353.0,3.6953365452063736e-06
88.0,419.0,5.318478542903904e-06
88.0,567.0,3.414613729546545e-06
88.0,793.0,5.610084826912498e-06
88.0,1054.0,5.526297627511667e-06
88.0,1150.0,9.38277389650466e-06
89.0,15.0,1.0383146786807629e-07
89.0,17.0,1.391546220474993e-07
89.0,89.0,0.9999653697013855
89.0,262.0,1.2111631519928778e-07
89.0,881.0,3.998430884166737e-07
89.0,1398.0,1.469566797140942e-07
89.0,1491.0,1.8905431886651058e-07
90.0,90.0,0.9996217489242554
90.0,91.0,1.2499378499342129e-05
90.0,260.0,1.1910819011973217e-05
90.0,591.0,5.658908776240423e-06
90.0,664.0,7.101768460415769e-06
90.0,777.0,5.390158548834734e-06
90.0,1165.0,5.935401532042306e-06
91.0,90.0,1.2499258446041495e-05
91.0,91.0,0.9996122717857361
91.0,260.0,8.038164196477737e-06
91.0,591.0,8.135687494359445e-06
91.0,664.0,1.634959153307136e-05
91.0,1165.0,8.783254997979384e-06
91.0,1271.0,7.397436093015131e-06
92.0,7.0,6.376965302479221e-07
92.0,92.0,0.999943733215332
92.0,124.0,3.9571375509694917e-07
92.0,282.0,6.377532031365263e-07
92.0,329.0,3.8493791976179637e-07
92.0,490.0,3.7280801734596025e-07
92.0,491.0,3.5364786299396656e-07
93.0,93.0,0.9998268485069275
93.0,213.0,1.8225528037874028e-06
93.0,313.0,1.9865842659783084e-06
93.0,487.0,2.259995562781114e-05
